,survey,item
0,V-Dem,Freedom to research and teach
1,V-Dem,Vertical accountability index
2,V-Dem,Party institutionalization index
3,V-Dem,Obligatory referendum super majority
4,V-Dem,Exclusion by Socio-Economic Group
5,V-Dem,Election type 0
6,V-Dem,Referendums administrative threshold
7,V-Dem,Election type 6
8,V-Dem,Plebiscite index
9,V-Dem,Engaged society
10,V-Dem,Access to state business opportunities by urban-rural location
11,V-Dem,Executive bribery and corrupt exchanges
12,V-Dem,Party linkages
13,V-Dem,Share of population with suffrage
14,V-Dem,Participatory component index
15,V-Dem,Initiatives permitted
16,V-Dem,Enforcement of Constitutional changes through popular vote
17,V-Dem,Weaker civil liberties population
18,V-Dem,Reasoned justification
19,V-Dem,HOS = HOG
20,V-Dem,Distinct party platforms
21,V-Dem,Freedom from forced labor for women
22,V-Dem,Particularistic or public goods
23,V-Dem,Chief executive appointment by upper chamber
24,V-Dem,Additive polyarchy index
25,V-Dem,Obligatory referendum administrative threshold
26,V-Dem,Referendums participation threshold
27,V-Dem,CSO entry and exit
28,V-Dem,Equality before the law and individual liberty index
29,V-Dem,HOS directly elected
30,V-Dem,Women political empowerment index
31,V-Dem,Liberal component index
32,V-Dem,HOG appointment in practice
33,V-Dem,Legislature controls resources
34,V-Dem,Institutional autonomy
35,V-Dem,Legislative or constituent assembly election
36,V-Dem,Chief executive no longer elected
37,V-Dem,Means-tested v. universalistic policy
38,V-Dem,Women political participation index
39,V-Dem,Election type 5
40,V-Dem,Party ban
41,V-Dem,Legislature corrupt activities
42,V-Dem,Initiatives participation threshold
43,V-Dem,HOS removal by other in practice 4
44,V-Dem,Access to state jobs by urban-rural location
45,V-Dem,Regimes of the world -- the RoW measure
46,V-Dem,Access to public services distributed by social group
47,V-Dem,Compliance with high court
48,V-Dem,Freedom from torture
49,V-Dem,Executive corruption index
50,V-Dem,Opposition parties autonomy
51,V-Dem,Election other electoral violence
52,V-Dem,Legislature closed down or aborted
53,V-Dem,Horizontal accountability index
54,V-Dem,Female journalists
55,V-Dem,Initiatives signature-gathering period
56,V-Dem,Local offices relative power
57,V-Dem,Legislature bicameral
58,V-Dem,Freedom of academic and cultural expression
59,V-Dem,HOS removal by other in practice
60,V-Dem,Freedom of discussion for women
61,V-Dem,Egalitarian democracy index
62,V-Dem,Access to public services distributed by urban-rural location
63,V-Dem,Political corruption index
64,V-Dem,HOG removal by other in practice 2
65,V-Dem,Freedom of Expression and Alternative Sources of Information index
66,V-Dem,Regional offices relative power
67,V-Dem,Internet censorship effort
68,V-Dem,Exclusion by Political Group index
69,V-Dem,Initiatives administrative threshold
70,V-Dem,HOG appoints cabinet in practice
71,V-Dem,Access to state jobs by social group
72,V-Dem,Candidate selection-national/local
73,V-Dem,Deliberative component index
74,V-Dem,Educational equality
75,V-Dem,Regime corruption
76,V-Dem,Public sector corrupt exchanges
77,V-Dem,Obligatory referendum participation threshold
78,V-Dem,Plebiscites administrative threshold
79,V-Dem,CSO women's participation
80,V-Dem,Legislative or constituent assembly election aborted
81,V-Dem,Power distributed by social group
82,V-Dem,Elected officials index
83,V-Dem,Compliance with judiciary
84,V-Dem,Access to state business opportunities by social group
85,V-Dem,Women civil society participation index
86,V-Dem,Chief executive appointment by upper chamber implicit approval
87,V-Dem,Citizen-initiated component of direct popular vote index
88,V-Dem,Regional government index
89,V-Dem,Equal distribution of resources index
90,V-Dem,Access to justice
91,V-Dem,Property rights
92,V-Dem,Lower chamber elected
93,V-Dem,HOS appointed by legislature
94,V-Dem,Common good
95,V-Dem,Freedom of expression index
96,V-Dem,HOG removal by other in practice 4
97,V-Dem,Social group equality in respect for civil liberties
98,V-Dem,Initiatives signatures %
99,V-Dem,Social class equality in respect for civil liberty
100,V-Dem,Power distributed by socioeconomic position
101,V-Dem,Freedom of association thick index
102,V-Dem,Judicial accountability
103,V-Dem,Legislative constraints on the executive index
104,V-Dem,Referendums permitted
105,V-Dem,Local government index
106,V-Dem,HOG dismisses ministers in practice
107,V-Dem,Access to state jobs by gender
108,V-Dem,Print/broadcast media critical
109,V-Dem,Media self-censorship
110,V-Dem,Alternative sources of information index
111,V-Dem,Initiatives super majority
112,V-Dem,Participatory democracy index
113,V-Dem,Election type 7
114,V-Dem,HOG removal by other in practice 3
115,V-Dem,Freedom of religion
116,V-Dem,Freedom of discussion
117,V-Dem,Access to state business opportunities by political group
118,V-Dem,Lower chamber female legislators
119,V-Dem,Government censorship effort --- Media
120,V-Dem,Legislature questions officials in practice
121,V-Dem,Campus integrity
122,V-Dem,Regimes of the world -- the RoW measure with categories for ambiguous cases
123,V-Dem,Exclusion by Gender index
124,V-Dem,Rule of law index
125,V-Dem,Obligatory referendum index
126,V-Dem,Referendums super majority
127,V-Dem,Property rights for men
128,V-Dem,Access to state jobs by political group
129,V-Dem,Diagonal accountability index
130,V-Dem,Legislative party cohesion
131,V-Dem,HOS selection by legislature in practice
132,V-Dem,Hereditary dimension index
133,V-Dem,Electoral democracy index
134,V-Dem,Women civil liberties index
135,V-Dem,Referendums approval threshold
136,V-Dem,Plebiscites super majority
137,V-Dem,Occurrence of citizen-initiatives this year
138,V-Dem,HOG selection by legislature in practice
139,V-Dem,Urban-rural location equality in respect for civil liberties
140,V-Dem,Egalitarian component index
141,V-Dem,Equal access index
142,V-Dem,Plebiscites permitted
143,V-Dem,Election vote buying
144,V-Dem,HOG removal by other in practice
145,V-Dem,Respect counterarguments
146,V-Dem,Political group equality in respect for civil liberties
147,V-Dem,Relative power of the HOG
148,V-Dem,Referendums signature-gathering period
149,V-Dem,Multiplicative polyarchy index
150,V-Dem,Equal protection index
151,V-Dem,Property rights for women
152,V-Dem,Power distributed by gender
153,V-Dem,HOS appointment in practice
154,V-Dem,Print/broadcast media perspectives
155,V-Dem,Health equality
156,V-Dem,CSO participatory environment
157,V-Dem,Neopatrimonial Rule Index
158,V-Dem,Initiatives approval threshold
159,V-Dem,Freedom from forced labor for men
160,V-Dem,Freedom from political killings
161,V-Dem,Media bias
162,V-Dem,HOS dismisses ministers in practice
163,V-Dem,Executive respects constitution
164,V-Dem,Presidentialism Index
165,V-Dem,Plebiscites approval threshold
166,V-Dem,Confidence dimension index
167,V-Dem,Division of power index
168,V-Dem,Liberal democracy index
169,V-Dem,CSO consultation
170,V-Dem,Party organizations
171,V-Dem,Executive electoral regime index
172,V-Dem,Ruling party dimension index
173,V-Dem,Civil liberties index
174,V-Dem,Political civil liberties index
175,V-Dem,Access to state jobs by socio-economic position
176,V-Dem,Percentage of indirectly elected legislators upper chamber
177,V-Dem,Barriers to parties
178,V-Dem,HOS removal by other in practice 3
179,V-Dem,Executive oversight
180,V-Dem,Election other voting irregularities
181,V-Dem,Election government intimidation
182,V-Dem,Harassment of journalists
183,V-Dem,Election voter registry
184,V-Dem,Civil society participation index
185,V-Dem,Public sector corruption index
186,V-Dem,HOS appoints cabinet in practice
187,V-Dem,Percentage of population with suffrage
188,V-Dem,HOS removal by other in practice 2
189,V-Dem,HOG removal by legislature in practice
190,V-Dem,Freedom of academic exchange and dissemination
191,V-Dem,Freedom of domestic movement
192,V-Dem,Legislature opposition parties
193,V-Dem,Power distributed by urban-rural location
194,V-Dem,EMB autonomy
195,V-Dem,Occurrence of obligatory referendum this year
196,V-Dem,Elections multiparty
197,V-Dem,Presidential election
198,V-Dem,Academic Freedom Index
199,V-Dem,Access to public services distributed by gender
200,V-Dem,Local government exists
201,V-Dem,Legislature investigates in practice
202,V-Dem,Election type 4
203,V-Dem,Occurrence of referendum this year
204,V-Dem,Transparent laws with predictable enforcement
205,V-Dem,Obligatory referendum credible threat
206,V-Dem,Clean elections index
207,V-Dem,Religious organization repression
208,V-Dem,Access to state business opportunities by socio-economic position
209,V-Dem,Lower court independence
210,V-Dem,Physical violence index
211,V-Dem,Obligatory referendum approval threshold
212,V-Dem,Electoral regime index
213,V-Dem,Public sector theft
214,V-Dem,Percentage of indirectly elected legislators lower chamber
215,V-Dem,Judicial corruption decision
216,V-Dem,Upper chamber elected
217,V-Dem,Referendums signatures %
218,V-Dem,Popular referendum credible threat
219,V-Dem,Plebiscites credible threat
220,V-Dem,Freedom of domestic movement for men
221,V-Dem,Direct popular vote index
222,V-Dem,Legislative electoral regime index
223,V-Dem,Popular initiative credible threat
224,V-Dem,Judicial constraints on the executive index
225,V-Dem,Election type 1
226,V-Dem,Access to public services distributed by socio-economic position
227,V-Dem,Freedom from forced labor
228,V-Dem,HOG directly elected
229,V-Dem,Gender equality in respect for civil liberties
230,V-Dem,Direct election dimension index
231,V-Dem,Core civil society index
232,V-Dem,Regional government exists
233,V-Dem,National party control
234,V-Dem,Divided party control index
235,V-Dem,Relative power of the HOS
236,V-Dem,High court independence
237,V-Dem,Access to justice for men
238,V-Dem,Legislature directly elected
239,V-Dem,CSO repression
240,V-Dem,Clientelism Index
241,V-Dem,Deliberative democracy index
242,V-Dem,Top-Down component of direct popular vote index
243,V-Dem,Presidential election aborted
244,V-Dem,Local government elected
245,V-Dem,Plebiscites participation threshold
246,V-Dem,Access to justice for women
247,V-Dem,Freedom of discussion for men
248,V-Dem,Accountability index
249,V-Dem,Exclusion by Social Group index
250,V-Dem,Initiatives signature-gathering time limit
251,V-Dem,Executive embezzlement and theft
252,V-Dem,Freedom of domestic movement for women
253,V-Dem,Election free and fair
254,V-Dem,Military dimension index
255,V-Dem,Regional government elected
256,V-Dem,Access to public services distributed by political group
257,V-Dem,Exclusion by Urban-Rural Location index
258,V-Dem,Freedom of foreign movement
259,V-Dem,Party branches
260,V-Dem,Range of consultation
261,V-Dem,Rigorous and impartial public administration
262,V-Dem,Access to state business opportunities by gender
263,V-Dem,Electoral component index
264,V-Dem,Private civil liberties index
265,V-Dem,Popular initiative index
266,V-Dem,Occurrence of plebiscite this year
267,V-Dem,Popular referendum index
268,V-Dem,EMB capacity
269,ESS9,Partner doing last 7 days: paid work
270,ESS9,Father's occupation when respondent 14
271,ESS9,Fourteenth person in household: relationship to respondent
272,ESS9,Respondent or household member victim of burglary/assault last 5 years
273,ESS9,Trust in the European Parliament
274,ESS9,Ever lived with a spouse or partner for 3 months or more
275,ESS9,Worked in political party or action group last 12 months
276,ESS9,Religion or denomination belonging to at present
277,ESS9,"Highest level of education, Serbia"
278,ESS9,"Father's highest level of education, Estonia"
279,ESS9,Important to behave properly
280,ESS9,"Leave full-time education, age too young. SPLIT BALLOT"
281,ESS9,"How often socially meet with friends, relatives or colleagues"
282,ESS9,"By and large, people get what they deserve"
283,ESS9,"Religion or denomination belonging to at present, Netherlands"
284,ESS9,Country of birth
285,ESS9,"Father's highest level of education, Germany: hoechster allgemeinbildender Schulabschluss"
286,ESS9,Important to live in secure and safe surroundings
287,ESS9,Would vote for [country] to become member of European Union or remain outside
288,ESS9,Year of birth
289,ESS9,"Highest level of education, Cyprus"
290,ESS9,Father's employment status when respondent 14
291,ESS9,Doing last 7 days: other
292,ESS9,"Party voted for in last national election 3, Lithuania (third vote, party)"
293,ESS9,"Father's highest level of education, Lithuania"
294,ESS9,Year of birth of fifteenth person in household
295,ESS9,Trust in the United Nations
296,ESS9,"Father's highest level of education, Sweden"
297,ESS9,"Partner's highest level of education, Belgium"
298,ESS9,State of education in country nowadays
299,ESS9,Citizen of country
300,ESS9,Gender of seventh person in household
301,ESS9,Relationship with husband/wife/partner currently living with
302,ESS9,Year first married
303,ESS9,Convinced that in the long run people compensated for injustices
304,ESS9,"Compared other people in country, fair chance achieve level of education I seek"
305,ESS9,"Party voted for in last national election, Spain"
306,ESS9,Mother's employment status when respondent 14
307,ESS9,"Highest level of education, Finland"
308,ESS9,"Highest level of education, Germany: hoechster Ausbildungsabschluss"
309,ESS9,"Mother's highest level of education, Austria"
310,ESS9,"Partner's highest level of education, Montenegro"
311,ESS9,"Highest level of education, Italy"
312,ESS9,Ever belonging to particular religion or denomination
313,ESS9,Fair level of [weekly/monthly/annual] net [pay/pensions/social benefits] for you
314,ESS9,Trust in the police
315,ESS9,"Would vote for [country] to remain member of European Union or leave, United Kingdom"
316,ESS9,"Mother's highest level of education, Denmark"
317,ESS9,"Father's highest level of education, Switzerland"
318,ESS9,Gender of fourteenth person in household
319,ESS9,"Improve knowledge/skills: course/lecture/conference, last 12 months"
320,ESS9,Ashamed if close family member gay or lesbian
321,ESS9,"Religion or denomination belonging to in the past, Ireland"
322,ESS9,"Party voted for in last national election, United Kingdom"
323,ESS9,Year of birth of seventh person in household
324,ESS9,"Religion or denomination belonging to at present, Montenegro"
325,ESS9,Partner doing last 7 days: no answer
326,ESS9,"Party voted for in last national election, France (ballot 1)"
327,ESS9,"Start living with partner not married to, age too young. SPLIT BALLOT"
328,ESS9,Mother's occupation when respondent 14
329,ESS9,"Highest level of education, Croatia"
330,ESS9,Discrimination of respondent's group: refusal
331,ESS9,Contacted politician or government official last 12 months
332,ESS9,"Partner's highest level of education, United Kingdom: Up to Ph.D or equivalent"
333,ESS9,"Mother's highest level of education, Croatia"
334,ESS9,"Religion or denomination belonging to in the past, Sweden"
335,ESS9,Any period of unemployment and work seeking within last 5 years
336,ESS9,Second person in household: relationship to respondent
337,ESS9,"Mother's highest level of education, Poland"
338,ESS9,"Doing last 7 days: unemployed, not actively looking for job"
339,ESS9,Important to make own decisions and be free
340,ESS9,"Which party feel closer to, Slovenia"
341,ESS9,Subjective general health
342,ESS9,Important to do what is told and follow rules
343,ESS9,Voted last national election
344,ESS9,"Religion or denomination belonging to at present, United Kingdom"
345,ESS9,"Household's total net income, all sources"
346,ESS9,"Mother's highest level of education, Lithuania"
347,ESS9,Year of birth of thirteenth person in household
348,ESS9,"Mother's highest level of education, Norway"
349,ESS9,Responsible for supervising other employees
350,ESS9,Third person in household: relationship to respondent
351,ESS9,"Religion or denomination belonging to at present, Iceland"
352,ESS9,Important to care for nature and environment
353,ESS9,"Party voted for in last national election, Serbia"
354,ESS9,"Father's highest level of education, Netherlands"
355,ESS9,Take part in social activities compared to others of same age
356,ESS9,"Which party feel closer to, Estonia"
357,ESS9,"Which party feel closer to, France"
358,ESS9,"Mother's highest level of education, Slovenia"
359,ESS9,"Partner's highest level of education, France"
360,ESS9,"Mother's highest level of education, Finland"
361,ESS9,"Main activity, last 7 days. All respondents. Post coded"
362,ESS9,"Mother's highest level of education, Hungary"
363,ESS9,Number of employees respondent has/had
364,ESS9,Partner doing last 7 days: community or military service
365,ESS9,Ninth person in household: relationship to respondent
366,ESS9,"Party voted for in last national election 1, Lithuania (first vote, party)"
367,ESS9,Doing last 7 days: don't know
368,ESS9,"Mother's highest level of education, Cyprus"
369,ESS9,"Highest level of education, France"
370,ESS9,"Highest level of education, Slovenia"
371,ESS9,Gender of tenth person in household
372,ESS9,Important to understand different people
373,ESS9,Partner's main activity last 7 days
374,ESS9,Which letter describes your gross pay
375,ESS9,Most people can be trusted or you can't be too careful
376,ESS9,How satisfied with the national government
377,ESS9,"Highest level of education, Hungary"
378,ESS9,Year of birth of fifth person in household
379,ESS9,Language most often spoken at home: first mentioned
380,ESS9,Allowed to influence policy decisions about activities of organisation
381,ESS9,How interested in politics
382,ESS9,Year of birth of sixth person in household
383,ESS9,Political system allows people to have a say in what government does
384,ESS9,"Mother's highest level of education, Germany: hoechster Ausbildungsabschluss"
385,ESS9,Able to take active role in political group
386,ESS9,"Father's highest level of education, Slovakia"
387,ESS9,"Religion or denomination belonging to in the past, Belgium"
388,ESS9,Legal marital status
389,ESS9,Gender of second person in household
390,ESS9,"Party voted for in last national election, Poland"
391,ESS9,"Mother's highest level of education, Iceland"
392,ESS9,Approve if person has full-time job while children aged under 3. SPLIT BALLOT
393,ESS9,Approve if person have child with partner not married to. SPLIT BALLOT
394,ESS9,Discrimination of respondent's group: sexuality
395,ESS9,"Father's highest level of education, Cyprus"
396,ESS9,"Net [pay/pensions/social benefits] of people same occupation as you in country, how fair"
397,ESS9,Ever given birth to/ fathered a child
398,ESS9,"Internet use, how much time on typical day, in minutes"
399,ESS9,Paid employment or apprenticeship at least 3 months 20 hours weekly
400,ESS9,Important to get respect from others
401,ESS9,"Father's highest level of education, Poland"
402,ESS9,"Party voted for in last national election, Portugal"
403,ESS9,Influence decision to recruit in country: person has immigrant background
404,ESS9,Important to have a good time
405,ESS9,Year first lived with spouse or partner for 3 months or more
406,ESS9,Number of people living regularly as member of household
407,ESS9,"Religion or denomination belonging to in the past, Montenegro"
408,ESS9,"Partner's highest level of education, Italy"
409,ESS9,"Which party feel closer to, Portugal"
410,ESS9,"Partner's highest level of education, Austria"
411,ESS9,"Party voted for in last national election, Netherlands"
412,ESS9,"Partner's highest level of education, Poland"
413,ESS9,Year youngest child was born
414,ESS9,Are or ever been married
415,ESS9,"Party voted for in last national election 2, Germany"
416,ESS9,"Retire permanently, ideal age. SPLIT BALLOT"
417,ESS9,Gender of fifth person in household
418,ESS9,Gender of thirteenth person in household
419,ESS9,"Internet use, how often"
420,ESS9,Important to show abilities and be admired
421,ESS9,"Father's highest level of education, Croatia"
422,ESS9,Belonging to particular religion or denomination
423,ESS9,"Religion or denomination belonging to in the past, Finland"
424,ESS9,"Father's highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent"
425,ESS9,Doing last 7 days: education
426,ESS9,Gender of sixth person in household
427,ESS9,"Doing last 7 days: housework, looking after children, others"
428,ESS9,Region
429,ESS9,"Partner's highest level of education, Cyprus"
430,ESS9,"Domicile, respondent's description"
431,ESS9,"Party voted for in last national election, Montenegro"
432,ESS9,"Second ancestry, European Standard Classification of Cultural and Ethnic Groups"
433,ESS9,"Religion or denomination belonging to at present, Lithuania"
434,ESS9,Main source of household income
435,ESS9,"Father's highest level of education, Hungary"
436,ESS9,Would vote for [country] to remain member of European Union or leave
437,ESS9,"Highest level of education, Czechia"
438,ESS9,Ever had children living in household
439,ESS9,"Mother's highest level of education, Czechia"
440,ESS9,"Highest level of education, Netherlands"
441,ESS9,"Religion or denomination belonging to in the past, Norway"
442,ESS9,What is your usual [weekly/monthly/annual] gross pay
443,ESS9,"Religion or denomination belonging to at present, Serbia"
444,ESS9,"Partner's highest level of education, Spain"
445,ESS9,"Legal marital status, United Kingdom"
446,ESS9,Total hours normally worked per week in main job overtime included
447,ESS9,"Partner doing last 7 days: unemployed, actively looking for job"
448,ESS9,"Partner's highest level of education, Bulgaria"
449,ESS9,"Religion or denomination belonging to in the past, Serbia"
450,ESS9,Gender of twelfth person in household
451,ESS9,Gender of fifteenth person in household
452,ESS9,Partner doing last 7 days: retired
453,ESS9,Discrimination of respondent's group: disability
454,ESS9,What type of organisation work/worked for
455,ESS9,"Party voted for in last national election, Estonia"
456,ESS9,"Differences in wealth in country, how fair"
457,ESS9,Year of birth of second person in household
458,ESS9,Twelfth person in household: relationship to respondent
459,ESS9,"Partner's highest level of education, Ireland"
460,ESS9,"Country of birth, father"
461,ESS9,"Religion or denomination belonging to in the past, Poland"
462,ESS9,"Mother's highest level of education, France"
463,ESS9,"Highest level of education, Belgium"
464,ESS9,"Which party feel closer to, Slovakia"
465,ESS9,Influence decision to recruit in country: person knows someone in organisation
466,ESS9,"Highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent"
467,ESS9,Partner's highest level of education
468,ESS9,Partner doing last 7 days: other
469,ESS9,"Highest level of education, Lithuania"
470,ESS9,"Mother's highest level of education, Italy"
471,ESS9,"Partner, control paid work last 7 days"
472,ESS9,"Partner doing last 7 days: housework, looking after children, others"
473,ESS9,Confident that justice always prevails over injustice
474,ESS9,"Become mother/ father, age too young. SPLIT BALLOT"
475,ESS9,"Religion or denomination belonging to in the past, United Kingdom"
476,ESS9,Discrimination of respondent's group: age
477,ESS9,"Your net [pay/pensions/social benefits] is unfairly low, fair, or unfairly high"
478,ESS9,"Which party feel closer to, Cyprus"
479,ESS9,"Highest level of education, Poland"
480,ESS9,Most of the time people helpful or mostly looking out for themselves
481,ESS9,"Highest level of education, Norway"
482,ESS9,"Mother's highest level of education, Estonia"
483,ESS9,What year you first came to live in country
484,ESS9,Important to seek adventures and have an exciting life
485,ESS9,"Party voted for in last national election, Croatia"
486,ESS9,Belong to minority ethnic group in country
487,ESS9,"Father's highest level of education, Denmark"
488,ESS9,Worn or displayed campaign badge/sticker last 12 months
489,ESS9,Partner's employment relation
490,ESS9,"Party voted for in last national election 2, Lithuania (second vote, party)"
491,ESS9,"Party voted for in last national election, Switzerland"
492,ESS9,"Partner's highest level of education, Hungary"
493,ESS9,Country's cultural life undermined or enriched by immigrants
494,ESS9,Discrimination of respondent's group: ethnic group
495,ESS9,"Father's highest level of education, Slovenia"
